ID	Name
================================
0	Crunchy Leaf
1	Honey Drop
2	Spicy Berry
3	Burly Berry
4	Super Pepper
5	Iron Seed
6	RESERVED
7	RESERVED
8	Mistake
9	Leaf Omelet
10	Honey'd Leaf
11	Magic Seed
12	Clear Water
13	Mushroom
14	Cooked Shroom
15	Mushroom Salad
16	Leaf Salad
17	Aphid Egg
18	Fried Egg
19	Hearty Breakfast
20	Glazed Honey
21	Sweet Shroom
22	Sweet Danger
23	Hard Seed
24	Dotted Ball
25	Bug Ranger Plushie
26	Danger Shroom
27	Explorer Permit
28	Cooked Danger
29	Coal Crystal
30	Spicy Bomb
31	Poison Bomb
32	Queen's Dinner
33	Mushroom Skewer
34	Roasted Berries
35	Abomihoney
36	Clear Bomb
37	Ant Compass
38	Chomper Seed
39	Berry Juice
40	Numbnail Dart
41	Map of Bugaria
42	Magic Ice
43	Shock Berry
44	Frost Bomb
45	Numb Bomb
46	Sleep Bomb
47	Shaved Ice
48	Aphid Dew
49	Honey Ice Cream
50	Sweet Dew
51	Ice Cream
52	Lore Book
53	Cold Salad
54	Flower Key
55	Sun Offering
56	Moon Offering
57	Mothiva Doll
58	Wooden Crank
59	Big Crank Top Half
60	Big Crank
61	Big Crank Bottom Half
62	Abombination
63	Spy Data
64	Danger Spud
65	Baked Yam
66	Spicy Fries
67	Burly Chips
68	Bag of Flour
69	Yam Bread
70	Spicy Candy
71	Burly Candy
72	Dry Bread
73	Nutty Cake
74	Poison Cake
75	Shock Candy
76	Plain Tea
77	Tangy Berry
78	Tangy Jam
79	Tangy Juice
80	Spicy Tea
81	Burly Tea
82	Frost Pie
83	Heart Berry
84	Bond Berry
85	Tangy Pie
86	Crisbee Donut
87	Tangy Carpaccio
88	Poison Dart
89	Bed Bug
90	Succulent Berry
91	Succulent Platter
92	Desert Key
93	Overdue Book
94	Pretty Ribbon
95	Factory Pass
96	Agaric Shroom
97	Shell Ointment
98	Crimson Ore
99	Bee Hat
100	Blank Card
101	1-Suit Card
102	2-Suit Card
103	3-Suit Card
104	Full Suit Card
105	Heaven Key
106	Earth Key
107	Longleg Summoner
108	Stolen Silk
109	Mysterious Piece
110	Game Tokens
111	Rusty Key
112	Orange Horn
113	Sand Castle Key
114	Ancient Key
115	Big Ancient Key
116	Peculiar Gem
117	Top Hat
118	Crystal Fruit
119	Wasp Key
120	Jayde's Stew
121	Dark Cherries
122	Cherry Pie
123	Miracle Shake
124	Berry Smoothie
125	Squash
126	Squash Candy
127	Sophie Petal
128	Succulent Cookies
129	Sweet Pudding
130	Mega-Rush™
131	HP Potion
132	ATK Potion
133	DEF Potion
134	TP Potion
135	Super HP Potion
136	Super TP Potion
137	MP Potion
138	Shady Note
139	Blackest Paint
140	Red Paint
141	Root Cloth
142	Ant Doll
143	Eastern Doll
144	Mushroom Gummies
145	Wrapped Lunch
146	Crystal Crown
147	Drowsy Cake
148	Leaf Croissant
149	Package
150	Crystal Feather
151	Crystal Fang
152	Cherry Bombs
153	Squash Puree
154	Mite Burger
155	Aphid Shake
156	Mystery Berry
157	Small Gear
158	Medium Gear
159	Big Gear
160	Lab Card
161	Prison Key
162	Hustle Berry
163	History Book
164	History Book
165	History Book
166	History Book
167	Leaf Umbrella
168	Venom Ribbon
169	Shocking Ribbon
170	Drowsy Ribbon
171	Big Mistake
172	Burly Bomb
173	Berry Jam
174	Bad Book
175	Mechanical Claw
176	Platinum Card
177	Hot Drink
178	Hustle Candy
179	Squash Tart
180	Plumpling Pie
181	Danger Dish
182	Honey Pancakes
183	Flame Rock
184	Card Trophy
185	Team Ribbon
